Tue Sep  7 16:15:46 EDT 1999
Astronomical silicate, smoothed UV      
Computed by B.T.Draine (see Laor, A, & Draine, B.T. 1993 ApJ 402,441)
  21 1.000E-03 1.000E+01 = NRAD, a_1 (micron), a_NRAD (micron)
 241 1.000E+03 1.000E-03 = NWAV, w_1 (micron), w_NWAV (micron)

1.000E-03 = radius(micron) Astronomical silicate, smoothed UV      
w(micron)  Q_abs     Q_sca     g=<cos>
7.943E-01 6.817E-04 8.998E-09 3.37E-05
7.499E-01 7.196E-04 1.134E-08 3.78E-05
7.079E-01 7.596E-04 1.428E-08 4.24E-05
6.683E-01 8.018E-04 1.800E-08 4.76E-05
6.310E-01 8.467E-04 2.269E-08 5.34E-05
5.957E-01 8.943E-04 2.862E-08 6.00E-05
5.623E-01 9.445E-04 3.611E-08 6.73E-05
5.309E-01 9.975E-04 4.560E-08 7.56E-05
5.012E-01 1.053E-03 5.761E-08 8.49E-05
4.732E-01 1.112E-03 7.286E-08 9.53E-05
4.467E-01 1.173E-03 9.224E-08 1.07E-04
4.217E-01 1.238E-03 1.169E-07 1.20E-04
3.981E-01 1.305E-03 1.482E-07 1.35E-04
3.758E-01 1.374E-03 1.882E-07 1.52E-04
3.548E-01 1.445E-03 2.395E-07 1.71E-04
3.350E-01 1.518E-03 3.052E-07 1.92E-04
3.162E-01 1.592E-03 3.901E-07 2.17E-04
2.985E-01 1.667E-03 4.998E-07 2.44E-04
2.818E-01 1.742E-03 6.424E-07 2.75E-04
2.661E-01 1.816E-03 8.290E-07 3.10E-04
2.512E-01 1.881E-03 1.076E-06 3.51E-04
2.371E-01 1.942E-03 1.406E-06 3.97E-04
2.239E-01 1.996E-03 1.858E-06 4.51E-04
2.113E-01 2.444E-03 2.497E-06 5.15E-04
1.995E-01 3.542E-03 3.379E-06 5.90E-04
1.884E-01 5.467E-03 4.610E-06 6.79E-04
1.778E-01 8.547E-03 6.348E-06 7.83E-04
1.679E-01 1.361E-02 8.834E-06 9.05E-04
1.585E-01 2.208E-02 1.238E-05 1.04E-03
1.496E-01 3.569E-02 1.701E-05 1.15E-03
1.413E-01 5.151E-02 2.168E-05 1.21E-03
1.334E-01 6.293E-02 2.708E-05 1.29E-03
1.259E-01 7.522E-02 3.464E-05 1.39E-03
1.189E-01 8.958E-02 4.504E-05 1.50E-03
1.122E-01 1.072E-01 5.967E-05 1.60E-03
1.059E-01 1.308E-01 8.148E-05 1.69E-03
1.000E-01 1.665E-01 1.110E-04 1.71E-03
9.441E-02 2.020E-01 1.434E-04 1.76E-03
8.913E-02 2.287E-01 1.658E-04 1.89E-03
8.414E-02 2.480E-01 2.140E-04 2.10E-03
7.943E-02 2.969E-01 2.978E-04 2.20E-03
7.499E-02 3.542E-01 4.064E-04 2.31E-03
7.079E-02 3.907E-01 5.076E-04 2.53E-03
6.683E-02 3.976E-01 5.934E-04 2.83E-03
6.310E-02 3.339E-01 5.675E-04 3.26E-03
5.957E-02 2.080E-01 3.451E-04 3.87E-03
5.623E-02 1.667E-01 2.201E-04 4.54E-03
5.309E-02 1.563E-01 2.022E-04 5.19E-03
5.012E-02 1.493E-01 1.990E-04 5.90E-03
4.732E-02 1.440E-01 2.037E-04 6.68E-03
4.467E-02 1.394E-01 2.128E-04 7.54E-03
4.217E-02 1.350E-01 2.248E-04 8.51E-03
3.981E-02 1.305E-01 2.386E-04 9.60E-03
3.758E-02 1.258E-01 2.533E-04 1.08E-02
3.548E-02 1.208E-01 2.687E-04 1.22E-02
3.350E-02 1.156E-01 2.841E-04 1.37E-02
3.162E-02 1.102E-01 2.990E-04 1.54E-02
2.985E-02 1.045E-01 3.126E-04 1.74E-02
2.818E-02 9.867E-02 3.248E-04 1.96E-02
2.661E-02 9.282E-02 3.351E-04 2.20E-02
2.512E-02 8.684E-02 3.416E-04 2.48E-02
2.371E-02 8.092E-02 3.426E-04 2.79E-02
2.239E-02 7.813E-02 3.530E-04 3.15E-02
2.113E-02 7.394E-02 3.624E-04 3.54E-02
1.995E-02 6.988E-02 3.608E-04 3.99E-02
1.884E-02 7.235E-02 3.929E-04 4.49E-02
1.778E-02 6.815E-02 4.242E-04 5.05E-02
1.679E-02 6.424E-02 4.396E-04 5.69E-02
1.585E-02 6.058E-02 4.500E-04 6.40E-02
1.496E-02 5.703E-02 4.571E-04 7.21E-02
1.413E-02 5.349E-02 4.564E-04 8.12E-02
1.334E-02 5.259E-02 4.553E-04 9.15E-02
1.259E-02 5.125E-02 4.858E-04 1.03E-01
1.189E-02 4.764E-02 4.985E-04 1.16E-01
1.122E-02 4.402E-02 4.661E-04 1.31E-01
1.059E-02 5.316E-02 4.917E-04 1.47E-01
1.000E-02 4.941E-02 6.019E-04 1.66E-01
9.441E-03 4.556E-02 6.293E-04 1.87E-01
8.913E-03 4.183E-02 6.325E-04 2.10E-01
8.414E-03 3.825E-02 6.229E-04 2.36E-01
7.943E-03 3.487E-02 6.027E-04 2.65E-01
7.499E-03 3.172E-02 5.617E-04 2.97E-01
7.079E-03 3.148E-02 5.817E-04 3.33E-01
6.683E-03 2.858E-02 5.647E-04 3.72E-01
6.310E-03 2.588E-02 5.383E-04 4.14E-01
5.957E-03 2.342E-02 5.078E-04 4.59E-01
5.623E-03 2.109E-02 4.740E-04 5.06E-01
5.309E-03 1.898E-02 4.391E-04 5.54E-01
5.012E-03 1.707E-02 4.047E-04 6.01E-01
4.732E-03 1.531E-02 3.717E-04 6.45E-01
4.467E-03 1.371E-02 3.405E-04 6.86E-01
4.217E-03 1.225E-02 3.112E-04 7.20E-01
3.981E-03 1.093E-02 2.843E-04 7.47E-01
3.758E-03 9.726E-03 2.593E-04 7.67E-01
3.548E-03 8.635E-03 2.357E-04 7.82E-01
3.350E-03 7.649E-03 2.133E-04 7.94E-01
3.162E-03 6.765E-03 1.918E-04 8.07E-01
2.985E-03 5.985E-03 1.715E-04 8.21E-01
2.818E-03 5.255E-03 1.503E-04 8.38E-01
2.661E-03 4.585E-03 1.294E-04 8.55E-01
2.512E-03 4.013E-03 1.061E-04 8.72E-01
